alert_no,station_name,sensor_name,sensor_type,alert_type,fault_type,lsl,alert_value,hsl,start_time,end_time,duration,status,timelapse,date,remarks,acknowledge
A_op_60A_y phasecurrent_2024-06-07 16:46:20.775,op_60A,y phasecurrent,phasecurrent_type2,High limit,ten minute,0,14.07,1,2024-06-07 16:46:20.775, , ,Active,0,2024-06-07, , 
A_op_60B_actual torque x axis_2024-06-07 16:49:23.332,op_60B,actual torque x axis,actual_torque_type1,Low limit,one minute,0,-6.02,7,2024-06-07 16:49:23.332, , ,Active,0,2024-06-07, , 
A_op_60B_running frequency_2024-06-07 16:33:20.281,op_60B,running frequency,running_frequency_type1,High limit,ten minute,0,625.66,25,2024-06-07 16:33:20.281, , ,Active,0,2024-06-07, , 
A_op_60B_r phasecurrent_2024-06-07 16:52:23.613,op_60B,r phasecurrent,phasecurrent_type2,High limit,one minute,0,2.95,1,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_60B_y phasecurrent_2024-06-07 16:49:23.332,op_60B,y phasecurrent,phasecurrent_type2,Low limit,one minute,0,-6.56,1,2024-06-07 16:49:23.332, , ,Active,0,2024-06-07, , 
A_op_60B_b phasecurrent_2024-06-07 16:52:23.613,op_60B,b phasecurrent,phasecurrent_type2,High limit,one minute,0,15.01,1,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_60B_running load in kw_2024-06-07 14:05:19.476,op_60B,running load in kw,running_load_in_kw_type1,Low limit,ten minute,0,-0.26,0,2024-06-07 14:05:19.476, , ,Active,0,2024-06-07, , 
A_op_60B_r phasecurrent_2024-06-07 16:52:23.613,op_60B,r phasecurrent,phasecurrent_type2,High limit,one minute,0,2.95,1,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_60B_y phasecurrent_2024-06-07 16:49:23.332,op_60B,y phasecurrent,phasecurrent_type2,Low limit,one minute,0,-6.56,1,2024-06-07 16:49:23.332, , ,Active,0,2024-06-07, , 
A_op_60B_b phasecurrent_2024-06-07 16:52:23.613,op_60B,b phasecurrent,phasecurrent_type2,High limit,one minute,0,15.01,1,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_620_Fan_Running_status_On_OFF_Input3_Conveyor_2024-06-07 16:46:20.775,op_620,Fan_Running_status_On_OFF_Input3_Conveyor,fan_running_status_type1,High limit,ten minute,0,4.49,1,2024-06-07 16:46:20.775, , ,Active,0,2024-06-07, , 
A_op_620_Voltage_PP2_X_Axis_2024-06-07 16:52:23.613,op_620,Voltage_PP2_X_Axis,voltage_type2,High limit,one minute,230,249.07,240,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_620_Fan_Running_status_On_OFF_Grade_Conveyor5_2024-06-07 16:49:23.332,op_620,Fan_Running_status_On_OFF_Grade_Conveyor5,fan_running_status_type1,Low limit,one minute,0,-7.85,1,2024-06-07 16:49:23.332, , ,Active,0,2024-06-07, , 
A_op_620_Fan_Running_status_On_OFF_Grade_Conveyor6_2024-06-07 16:39:43.565,op_620,Fan_Running_status_On_OFF_Grade_Conveyor6,fan_running_status_type1,Low limit,ten minute,0,-3.7,1,2024-06-07 16:39:43.565, , ,Active,0,2024-06-07, , 
A_op_630_running frequency_2024-06-07 16:46:20.775,op_630,running frequency,running_frequency_type1,High limit,ten minute,0,176.89,25,2024-06-07 16:46:20.775, , ,Active,0,2024-06-07, , 
A_op_630_r phasecurrent_2024-06-07 16:52:23.613,op_630,r phasecurrent,phasecurrent_type2,High limit,one minute,0,10.43,1,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_630_y phasecurrent_2024-06-07 16:46:20.775,op_630,y phasecurrent,phasecurrent_type2,High limit,ten minute,0,4.14,1,2024-06-07 16:46:20.775, , ,Active,0,2024-06-07, , 
A_op_630_b phasecurrent_2024-06-07 16:49:23.333,op_630,b phasecurrent,phasecurrent_type2,Low limit,one minute,0,-0.06,1,2024-06-07 16:49:23.333, , ,Active,0,2024-06-07, , 
